Target Distance: 50, Step Size: 2
146: (x,y) = (-23.373, -21.317)
147: (x,y) = (-21.8867, -22.6553)
148: (x,y) = (-23.0623, -21.0373)
149: (x,y) = (-24.8115, -22.0069)
150: (x,y) = (-23.2355, -23.2382)
151: (x,y) = (-24.6742, -24.6275)
152: (x,y) = (-22.9968, -23.5382)
153: (x,y) = (-24.6929, -24.5981)
154: (x,y) = (-25.8401, -22.9598)
155: (x,y) = (-27.1256, -24.4919)
156: (x,y) = (-25.8401, -26.024)
157: (x,y) = (-25.1233, -24.1568)
158: (x,y) = (-23.1382, -24.4005)
159: (x,y) = (-22.2303, -22.6185)
160: (x,y) = (-24.23, -22.5836)
161: (x,y) = (-26.2105, -22.862)
162: (x,y) = (-27.1185, -24.644)
163: (x,y) = (-28.6506, -23.3584)
164: (x,y) = (-28.6506, -25.3584)
165: (x,y) = (-29.432, -27.1994)
166: (x,y) = (-27.65, -26.2914)
167: (x,y) = (-26.032, -25.1159)
168: (x,y) = (-27.608, -26.3472)
169: (x,y) = (-29.1623, -27.6058)
170: (x,y) = (-27.4662, -28.6657)
171: (x,y) = (-25.9568, -29.9778)
172: (x,y) = (-23.9616, -29.8383)
173: (x,y) = (-25.9104, -30.2882)
174: (x,y) = (-27.2997, -28.8495)
175: (x,y) = (-27.056, -30.8346)
176: (x,y) = (-25.0864, -31.1819)
177: (x,y) = (-26.4503, -29.7192)
178: (x,y) = (-26.3457, -27.7219)
179: (x,y) = (-24.3651, -28.0003)
180: (x,y) = (-24.4698, -29.9975)
181: (x,y) = (-22.8725, -31.2011)
182: (x,y) = (-24.8213, -31.651)
183: (x,y) = (-24.7166, -29.6538)
184: (x,y) = (-23.4853, -31.2298)
185: (x,y) = (-25.4607, -30.9169)
186: (x,y) = (-23.9512, -32.2291)
187: (x,y) = (-25.5055, -30.9704)
188: (x,y) = (-27.4374, -31.4881)
189: (x,y) = (-25.7231, -30.458)
190: (x,y) = (-23.8687, -31.2072)
191: (x,y) = (-22.5566, -29.6978)
192: (x,y) = (-20.8792, -30.7871)
193: (x,y) = (-18.8795, -30.7521)
194: (x,y) = (-18.8446, -28.7525)
195: (x,y) = (-17.1303, -27.7224)
196: (x,y) = (-15.3177, -28.5676)
197: (x,y) = (-16.872, -29.8263)
198: (x,y) = (-15.2139, -30.9446)
199: (x,y) = (-13.8499, -29.4819)
200: (x,y) = (-12.7901, -27.7858)
201: (x,y) = (-10.7904, -27.7509)
202: (x,y) = (-10.0089, -25.9099)
203: (x,y) = (-10.0787, -27.9087)
204: (x,y) = (-11.7368, -29.0271)
205: (x,y) = (-12.9954, -27.4728)
206: (x,y) = (-12.5116, -29.4134)
207: (x,y) = (-13.2608, -31.2678)
208: (x,y) = (-15.2559, -31.4073)
209: (x,y) = (-17.2483, -31.233)
210: (x,y) = (-16.159, -32.9103)
211: (x,y) = (-16.7103, -34.8328)
212: (x,y) = (-18.6328, -34.2815)
213: (x,y) = (-20.4304, -33.4048)
214: (x,y) = (-18.576, -34.154)
215: (x,y) = (-18.7851, -32.165)
216: (x,y) = (-20.6122, -31.3515)
217: (x,y) = (-19.0149, -32.5551)
218: (x,y) = (-19.0847, -34.5539)
219: (x,y) = (-20.8823, -33.6772)
220: (x,y) = (-22.1679, -35.2093)
221: (x,y) = (-20.4535, -34.1792)
222: (x,y) = (-22.4023, -33.7293)
223: (x,y) = (-22.3674, -35.729)
224: (x,y) = (-23.1488, -33.888)
225: (x,y) = (-22.9745, -35.8804)
226: (x,y) = (-24.5066, -34.5948)
227: (x,y) = (-22.8485, -33.4764)
228: (x,y) = (-24.4868, -32.3292)
229: (x,y) = (-23.8357, -30.4382)
230: (x,y) = (-21.836, -30.4731)
231: (x,y) = (-23.7848, -30.0232)
232: (x,y) = (-24.4028, -31.9253)
233: (x,y) = (-23.5893, -33.7524)
234: (x,y) = (-21.7099, -34.4365)
235: (x,y) = (-21.7797, -36.4352)
236: (x,y) = (-21.6054, -38.4276)
237: (x,y) = (-19.9874, -37.2521)
238: (x,y) = (-19.4361, -35.3295)
239: (x,y) = (-20.7217, -33.7974)
240: (x,y) = (-22.399, -34.8867)
241: (x,y) = (-24.1483, -35.8563)
242: (x,y) = (-23.5302, -37.7584)
243: (x,y) = (-23.4604, -39.7572)
244: (x,y) = (-23.1131, -37.7876)
245: (x,y) = (-23.6644, -39.7101)
246: (x,y) = (-24.6034, -37.9442)
247: (x,y) = (-24.4638, -39.9394)
248: (x,y) = (-25.7225, -38.3851)
249: (x,y) = (-24.3083, -36.9709)
250: (x,y) = (-22.8696, -38.3602)
251: (x,y) = (-23.9294, -40.0563)
252: (x,y) = (-22.1974, -39.0563)
253: (x,y) = (-21.0218, -37.4382)
254: (x,y) = (-22.6398, -36.2627)
255: (x,y) = (-22.5352, -34.2654)
256: (x,y) = (-22.6398, -36.2627)
257: (x,y) = (-24.0541, -34.8485)
258: (x,y) = (-22.0589, -34.988)
259: (x,y) = (-22.9669, -33.206)
260: (x,y) = (-20.9681, -33.1362)
261: (x,y) = (-21.8449, -34.9337)
262: (x,y) = (-23.8081, -35.3154)
263: (x,y) = (-23.3582, -33.3666)
264: (x,y) = (-25.0163, -34.485)
265: (x,y) = (-24.7034, -36.4604)
266: (x,y) = (-23.4448, -38.0147)
267: (x,y) = (-24.5341, -39.692)
268: (x,y) = (-22.8567, -38.6027)
269: (x,y) = (-21.2807, -39.8341)
270: (x,y) = (-19.4397, -40.6155)
271: (x,y) = (-21.154, -41.6456)
272: (x,y) = (-22.6861, -42.9312)
273: (x,y) = (-21.6263, -41.2351)
274: (x,y) = (-21.3479, -39.2545)
275: (x,y) = (-22.924, -38.0232)
276: (x,y) = (-20.9434, -37.7449)
277: (x,y) = (-22.741, -38.6216)
278: (x,y) = (-21.3268, -40.0358)
279: (x,y) = (-19.6885, -41.183)
280: (x,y) = (-18.9718, -43.0501)
281: (x,y) = (-18.9368, -41.0505)
282: (x,y) = (-19.6861, -42.9048)
283: (x,y) = (-21.1488, -44.2688)
284: (x,y) = (-19.2, -43.8189)
285: (x,y) = (-20.7321, -45.1045)
286: (x,y) = (-22.6342, -45.7225)
After 286 steps, the subject has the following location:
(x,y) = (-22.6342, -45.7225)
 or
(m,a) = (51.0182, -116.337)
Average outward distance per step = 0.178385
Target Distance: 10, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (1.86716, -0.716736)
2: (x,y) = (3.8159, -1.16664)
3: (x,y) = (2.84628, 0.582601)
4: (x,y) = (0.876666, 0.929898)
5: (x,y) = (-0.562013, 2.31921)
6: (x,y) = (0.641617, 0.721943)
7: (x,y) = (-1.30712, 0.272041)
8: (x,y) = (-1.89187, -1.64057)
9: (x,y) = (-3.35457, -3.00456)
10: (x,y) = (-1.64024, -4.03464)
11: (x,y) = (-3.05445, -2.62043)
12: (x,y) = (-1.3224, -1.62043)
13: (x,y) = (-0.975106, -3.59004)
14: (x,y) = (-1.78858, -1.76295)
15: (x,y) = (-1.47571, 0.212425)
16: (x,y) = (-1.68477, 2.20147)
17: (x,y) = (-0.903305, 4.04248)
18: (x,y) = (-1.14704, 2.05739)
19: (x,y) = (-2.70134, 0.798745)
20: (x,y) = (-2.1837, -1.13311)
21: (x,y) = (-4.14695, -0.751489)
22: (x,y) = (-2.19066, -0.335665)
23: (x,y) = (-1.67302, 1.59619)
24: (x,y) = (-1.46396, -0.392857)
25: (x,y) = (0.46789, -0.910495)
26: (x,y) = (0.293578, -2.90288)
27: (x,y) = (0.433091, -0.907757)
28: (x,y) = (2.36494, -0.390119)
29: (x,y) = (0.424352, 0.0937251)
30: (x,y) = (1.5715, -1.54458)
31: (x,y) = (3.10359, -0.259004)
32: (x,y) = (2.35438, -2.11337)
33: (x,y) = (2.11064, -0.128279)
34: (x,y) = (0.141026, 0.219017)
35: (x,y) = (1.7383, -0.984613)
36: (x,y) = (1.15355, -2.89722)
37: (x,y) = (-0.378535, -1.61165)
38: (x,y) = (0.105308, 0.328944)
39: (x,y) = (-0.924768, -1.38539)
40: (x,y) = (-2.1284, -2.98266)
41: (x,y) = (-0.128702, -3.01757)
42: (x,y) = (-1.84304, -1.98749)
43: (x,y) = (0.113258, -1.57167)
44: (x,y) = (0.56316, 0.377074)
45: (x,y) = (2.41753, 1.12629)
46: (x,y) = (0.721432, 2.18613)
47: (x,y) = (2.67773, 1.7703)
48: (x,y) = (0.728987, 2.2202)
49: (x,y) = (1.54246, 4.04729)
50: (x,y) = (1.47266, 2.04851)
51: (x,y) = (2.91134, 3.43783)
52: (x,y) = (1.33532, 2.20651)
53: (x,y) = (-0.41392, 3.17613)
54: (x,y) = (-1.53231, 1.51805)
55: (x,y) = (-0.783093, 3.37242)
56: (x,y) = (0.606224, 4.8111)
57: (x,y) = (-0.0778162, 6.69048)
58: (x,y) = (0.165922, 4.70539)
59: (x,y) = (1.94794, 3.79741)
60: (x,y) = (1.4303, 5.72926)
61: (x,y) = (2.86898, 4.33995)
62: (x,y) = (4.50728, 5.4871)
63: (x,y) = (3.5993, 3.70509)
64: (x,y) = (1.80171, 2.82834)
65: (x,y) = (1.97602, 0.835953)
66: (x,y) = (0.0272834, 1.28586)
67: (x,y) = (0.544921, 3.21771)
68: (x,y) = (2.49366, 3.66761)
69: (x,y) = (4.04795, 4.92625)
70: (x,y) = (2.35186, 3.86641)
71: (x,y) = (2.21234, 5.86154)
72: (x,y) = (0.212344, 5.86154)
73: (x,y) = (0.421401, 3.8725)
74: (x,y) = (-0.754169, 2.25446)
75: (x,y) = (1.14794, 1.63643)
76: (x,y) = (0.029558, 3.2945)
77: (x,y) = (2.0186, 3.50356)
78: (x,y) = (0.236589, 2.59558)
79: (x,y) = (0.271494, 4.59527)
80: (x,y) = (0.54984, 2.61474)
81: (x,y) = (-0.88884, 1.22542)
82: (x,y) = (-0.958639, 3.2242)
83: (x,y) = (-0.474795, 1.28361)
84: (x,y) = (0.143239, 3.18572)
85: (x,y) = (-0.374399, 5.11758)
86: (x,y) = (-2.33765, 4.73596)
87: (x,y) = (-3.82394, 6.07422)
88: (x,y) = (-1.86069, 6.45584)
89: (x,y) = (-3.55678, 7.51568)
90: (x,y) = (-4.20792, 9.40671)
After 90 steps, the subject has the following location:
(x,y) = (-4.20792, 9.40671)
 or
(m,a) = (10.305, 114.1)
Average outward distance per step = 0.1145
Target Distance: 20, Step Size: 10
0: (x,y) = (0, 0)
1: (x,y) = (8.19152, -5.73576)
2: (x,y) = (8.71488, 4.25053)
3: (x,y) = (10.4514, 14.0986)
4: (x,y) = (1.87969, 8.94823)
5: (x,y) = (-5.78076, 2.52035)
6: (x,y) = (2.79092, -2.63003)
7: (x,y) = (12.7894, -2.80455)
8: (x,y) = (19.9828, -9.75114)
After 8 steps, the subject has the following location:
(x,y) = (19.9828, -9.75114)
 or
(m,a) = (22.235, -26.0113)
Average outward distance per step = 2.77938
